"Variable","Measure","Country","Year","Value","Flags"
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Lithuania","2019",149,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Lithuania","2020",164,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Lithuania","2021",155,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Chile","2018",80,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Chile","2019",82,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Chile","2020",76,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Japan","2018",51,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Japan","2019",51,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Japan","2020",49,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Australia","2018",50,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Australia","2019",52,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Australia","2020",48,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Australia","2021",47,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","South Africa","2018",257,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Greece","2018",75,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Greece","2019",78,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Greece","2020",76,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Argentina","2018",142,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Argentina","2019",140,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Argentina","2020",133,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Peru","2018",94,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Peru","2019",95,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Peru","2020",98,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Croatia","2019",104,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Croatia","2020",106,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Bulgaria","2018",156,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Bulgaria","2019",156,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Bulgaria","2020",175,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Romania","2018",176,
"Treatable mortality","Deaths per 100 000 population (standardised rates)","Romania","2019",174,
