"Variable","Measure","Country","Year","Value","Flags"
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Czechia","2021",233,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Slovenia","2018",145,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Slovenia","2019",142,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Slovenia","2020",164,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Costa Rica","2018",125,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Costa Rica","2019",127,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Costa Rica","2020",148,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Netherlands","2018",103,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Netherlands","2019",99,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Netherlands","2020",113,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Iceland","2018",96,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Iceland","2019",87,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Iceland","2020",83,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Iceland","2021",93,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Belgium","2018",121,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Greece","2018",118,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Greece","2019",118,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Greece","2020",128,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Peru","2018",105,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Peru","2019",111,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Peru","2020",405,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Argentina","2018",142,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Argentina","2019",136,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Argentina","2020",197,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Croatia","2019",192,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Croatia","2020",216,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Bulgaria","2018",188,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Bulgaria","2019",192,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Bulgaria","2020",261,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Romania","2018",254,
"Preventable mortality","Deaths per 100 000 population (standardised rates)","Romania","2019",245,
