"Variable","Measure","Country","Year","Value","Flags"
"Practising nurses","Number of persons (head counts)","China (People's Republic of)","2020",4708717,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","China (People's Republic of)","2021",5019422,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","Estonia","2019",8279,
"Practising nurses","Number of persons (head counts)","Estonia","2020",8484,
"Practising nurses","Number of persons (head counts)","Estonia","2021",8632,
"Practising nurses","Number of persons (head counts)","Indonesia","2019",578078,
"Practising nurses","Number of persons (head counts)","Indonesia","2020",615829,
"Practising nurses","Number of persons (head counts)","Israel","2019",45400,
"Practising nurses","Number of persons (head counts)","Israel","2020",47400,
"Practising nurses","Number of persons (head counts)","Israel","2021",50200,
"Practising nurses","Number of persons (head counts)","Russia","2019",1244755,
"Practising nurses","Number of persons (head counts)","Slovenia","2019",21464,
"Practising nurses","Number of persons (head counts)","Slovenia","2020",22002,
"Practising nurses","Number of persons (head counts)","Slovenia","2021",22115,
"Practising nurses","Number of persons (head counts)","South Africa","2019",64638,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","South Africa","2020",61028,"Difference in methodology"
"Practising nurses","Number of persons (head counts)","Latvia","2019",8402,
"Practising nurses","Number of persons (head counts)","Latvia","2020",7952,"Break"
"Practising nurses","Number of persons (head counts)","Latvia","2021",7890,
"Practising nurses","Number of persons (head counts)","Lithuania","2019",21629,
"Practising nurses","Number of persons (head counts)","Lithuania","2020",21818,
"Practising nurses","Number of persons (head counts)","Lithuania","2021",22079,
"Practising nurses","Number of persons (head counts)","Bulgaria","2019",30546,
"Practising nurses","Number of persons (head counts)","Bulgaria","2020",29160,
"Practising nurses","Number of persons (head counts)","Bulgaria","2021",28816,
"Practising nurses","Number of persons (head counts)","Romania","2019",145788,
"Practising nurses","Number of persons (head counts)","Romania","2020",148739,
"Practising nurses","Number of persons (head counts)","Romania","2021",152873,
"Practising nurses","Number of persons (head counts)","Croatia","2019",27870,
"Practising nurses","Number of persons (head counts)","Croatia","2020",28081,
"Practising nurses","Number of persons (head counts)","Croatia","2021",29549,
